,FID,osm_id,route,type,name,short_name,osmc-symbol,symbol,ref,operator,network,highway,to,from,description,foot,sac_scale,surface,tracktype,distance,duration,roundtrip,complete,colour,website,url,wikidata,wikipedia,source,note,osm_version,osm_timestamp,the_geom
11897,france_hiking_foot_routes_line.2054547,2054547,hiking,,Chemin des gorges de Saint-Jaume,,,,,,lwn,,,,,,,,,,,,,,,,,,,,3,2021-08-22T22:23:55Z,"LINESTRING (265267.9568215994 5281443.762814205, 265254.98810092197 5281431.640787159, 265246.1827292002 5281408.62566749, 265243.7782281991 5281380.315782255, 265244.746707769 5281371.303971749, 265253.8526421159 5281341.052267089, 265259.8416307206 5281331.524669158, 265269.53755836864 5281312.499844894, 265264.6172368756 5281278.25829263, 265234.76134944486 5281235.763744159, 265205.80714988953 5281188.490491765, 265199.98514052096 5281167.706114029, 265172.8454486656 5281148.135464647, 265161.5576522992 5281135.543518012, 265146.5295210421 5281110.071427, 265143.1231446238 5281079.547487587, 265132.59232079476 5281062.859491102, 265111.28577025695 5281062.829149318, 265082.44289019244 5281075.208605648, 265057.7188312872 5281079.380607476, 265013.6585768312 5281081.23145979, 264977.2125755455 5281080.685306609, 264948.82610539324 5281073.934249095, 264925.66051935917 5281062.0554338405, 264910.6991797965 5281050.404196698, 264895.2257705762 5281013.705928372, 264892.60976254265 5280984.851086431, 264904.3984966176 5280967.662623893, 264913.4710351173 5280955.495699439, 264924.0352547936 5280933.907791249, 264924.36921326595 5280881.766295042, 264912.9033057142 5280860.208897519, 264903.27416976064 5280847.374608359, 264862.5089722321 5280824.664331165, 264856.62017116917 5280808.401561213, 264856.09696956247 5280776.604286427, 264865.0470566222 5280741.075206977, 264869.8115308282 5280715.088394975, 264863.9783895106 5280699.5084785465, 264850.50873112463 5280693.379677223, 264833.06496691727 5280696.868845802, 264806.59319200664 5280705.1518338, 264784.83023155655 5280719.4422808215, 264768.5553220026 5280725.237351523, 264753.4826629492 5280716.5750874765, 264747.1151880758 5280693.895467279, 264757.7350674975 5280657.168252042, 264769.50153767434 5280639.555623586, 264772.674143162 5280611.5666308375, 264783.47213376896 5280565.661829344, 264780.95631327695 5280532.196672686, 264762.3214305181 5280511.808167901, 264727.95710371033 5280478.525242579, 264721.5784968879 5280448.200565118, 264705.748865297 5280431.073764553, 264667.7777869874 5280391.086068385, 264636.7641768525 5280355.558447827, 264607.01960891247 5280320.015792011, 264584.85589829553 5280270.502047629, 264562.6921876786 5280236.871077887, 264550.6585507238 5280204.499297474, 264557.60488694935 5280161.326984256, 264572.35471947945 5280117.74529668, 264568.9594750103 5280107.991399877, 264566.54384206 5280106.155908765, 264545.5489860964 5280090.228108401, 264545.5378541474 5280073.086791527, 264538.68057351455 5280056.977016054)"
11037,france_hiking_foot_routes_line.3331803,3331803,hiking,,Tête de Calvin - Hôtel du Saut du Doubs,,yellow::yellow_diamond,losange jaune,,Neuchâtel Rando,lwn,,,,,,,,,,,,,,,,,,,,2,2017-12-04T19:43:01Z,"LINESTRING (746809.1903362742 5955789.690425128, 746809.5465586449 5955785.832238127, 746810.0697602516 5955783.003991959, 746810.9603161779 5955779.91417494, 746814.8787622539 5955769.336873133, 746823.5060227903 5955750.683579301, 746831.2315954514 5955731.131177472, 746837.9886885425 5955715.812980282, 746848.4304567788 5955692.386163052, 746850.5677910022 5955688.4299307745, 746853.4064380174 5955683.950562509, 746856.8016824865 5955679.700069207, 746861.4882330489 5955674.795656438, 746865.2285679396 5955671.754921907, 746871.462459424 5955667.569826654, 746878.0748371771 5955663.40108143, 746882.4385612163 5955661.2921875445, 746888.0379316031 5955659.54295037, 746895.0510595231 5955658.169717695, 746903.2441740455 5955656.992661287, 747034.8238121631 5955644.748014489, 747054.605285677 5955636.475939745, 747060.2380519114 5955632.290861444, 747087.132840887 5955630.999372845, 747144.0393645805 5955642.165033783, 747231.3583731586 5955668.305487785)"
10803,france_hiking_foot_routes_line.3555752,3555752,foot,,Sentier-nature des Cervettes,,,,,,lcn,,,,,,,,,,,,,,http://www.ville-saint-priest.fr/Le-Sentier-nature-des-Cervettes.457.0.html,,,,,,13,2021-08-12T19:11:36Z,"MULTILINESTRING ((552509.256798934 5731898.646384917, 552537.1200674796 5731929.295144097, 552552.5489489035 5731939.04921749, 552601.6519762924 5731965.315141403, 552624.9400137663 5731985.731850538, 552629.236946111 5731993.334337319, 552656.5881449989 5732041.754520617, 552669.1338516113 5732056.082992647, 552719.2610183154 5732074.507624574, 552748.5491763431 5732078.189367874, 552793.6669659618 5732079.83101148, 552816.9216075884 5732090.525609755, 552851.4195177852 5732107.43617062, 552889.0455056734 5732120.840323193, 552894.4778968241 5732129.494858095, 552907.2462424181 5732138.898505916, 552905.8547487832 5732148.844069661, 552972.0230541107 5732174.313688959, 553041.1635898424 5732203.847700351, 553086.0142126831 5732222.862363899, 553098.6601068372 5732228.21771653, 553145.5590083083 5732254.229475081, 553187.5487202356 5732288.035311508, 553206.3283183323 5732308.484637373), (553206.3283183323 5732308.484637373, 553236.1953377122 5732346.57820662, 553259.9954448438 5732386.042678535, 553273.8769853457 5732420.295304105, 553279.253716751 5732445.032507836, 553283.3836698595 5732471.969360617, 553285.3985526428 5732502.795421038, 553285.9551500968 5732523.149605211, 553273.8101936512 5732638.087065034, 553266.8638574257 5732661.294697622, 553277.6507160836 5732657.054837158, 553403.8870186432 5732563.220546865, 553427.9876884 5732560.654343531, 553439.1085055302 5732558.6938284375, 553450.162530966 5732556.35077438, 553474.6973467367 5732535.263315587, 553499.2766903039 5732518.718541581, 553514.1823701211 5732541.049212013, 553589.6013251336 5732496.037268366, 553579.4489875733 5732477.532069942, 553634.6077952614 5732442.609788973, 553627.2161810726 5732427.659077935, 553638.8713317588 5732424.678502077, 553683.0651696036 5732415.433941597, 553727.5484381247 5732412.740269744, 553767.8572257409 5732418.717353358, 553798.0136757968 5732424.391601784, 553838.9235886632 5732411.847692267, 553916.2572389174 5732351.232327498, 554000.1587391283 5732285.835776525, 554127.6195560865 5732193.487674415, 554135.7124830673 5732193.280474021, 554183.1902458905 5732159.8415809525, 554282.9102457432 5732078.332812447, 554296.647070907 5732057.421805446, 554301.2890936731 5732031.012166263, 554301.5339965529 5732008.108999989, 554300.2649543579 5731985.97092235, 554308.8922148943 5731950.237726586, 554328.2952021396 5731909.627649492, 554350.6926836872 5731886.039463606, 554376.3629582641 5731871.34469288, 554386.5264277736 5731853.494244766, 554432.0338356098 5731809.489855284, 554434.4606005091 5731802.795979509, 554440.9059990261 5731791.878597661, 554531.3308213975 5731704.79502621, 554644.4982157379 5731607.767334582, 554678.5397160226 5731582.984642494, 554708.0950408281 5731568.64099367, 554723.3235471685 5731567.461628015, 554731.9842035524 5731571.031600204, 554737.3498030086 5731584.179947605, 554739.7431720607 5731620.310112407, 554744.863868637 5731627.450100548, 554753.7249001042 5731629.856660343, 554754.6488518778 5731577.119681072, 554750.8083294455 5731527.6820346555, 554726.0842705403 5731425.428894687, 554723.9246724189 5731399.30799546, 554725.4274855447 5731368.8363659475, 554739.086387065 5731300.70587662, 554742.3591800942 5731271.684836877, 554734.2773850628 5731271.382036851, 554726.6186040961 5731278.203008359, 554721.6203589595 5731292.323073447, 554715.9764607763 5731291.5899769645, 554708.6182424348 5731290.761259279, 554612.4715982367 5731274.999700996, 554558.4816452019 5731265.055112336, 554535.5164342513 5731263.5570502635, 554513.708946005 5731265.963511802, 554477.5746392935 5731273.390079321, 554404.4154699441 5731287.812937358, 554334.6181492166 5731298.920944485, 554312.1093481783 5731301.1521097105, 554276.5205069716 5731297.7734883, 554241.911277284 5731294.506426366, 554212.7233067981 5731295.3351444015, 554175.1641106043 5731301.343352469, 554144.7182298724 5731309.13649841, 554114.8734743907 5731321.4398019845, 554000.9157116656 5731371.402226131, 553943.2299515365 5731393.060665435, 553926.2203333434 5731397.746162544, 553867.0206281395 5731408.535564902, 553810.9378686778 5731425.397020451, 553690.289804556 5731464.618355665, 553655.3466163961 5731478.2924741, 553615.7057457246 5731500.540851497, 553592.8963820611 5731511.7925592065, 553570.8105950877 5731516.97217447, 553510.2973198924 5731522.454601292, 553448.1031203863 5731530.502937471, 553395.2263622594 5731540.734694153, 553384.6732745323 5731546.217135593, 553377.6490146632 5731554.377054675, 553375.7343194216 5731570.139107023, 553392.4433749897 5731779.558706908, 553398.7663220667 5731796.404926614, 553447.2014325109 5731862.929477174, 553454.392671616 5731879.138337243, 553458.8899790442 5731900.208305615, 553465.9142389132 5732043.587416198, 553461.9957928372 5732158.088353608, 553461.4391953832 5732183.271106791, 553463.4874740139 5732297.247862481, 553465.3687734084 5732335.723913606, 553469.6100460076 5732374.216069662), (553469.6100460076 5732374.216069662, 553469.7770252437 5732375.730257253, 553473.2501933564 5732388.784158844), (553469.6100460076 5732374.216069662, 553466.4485724691 5732375.491174985, 553461.5616468232 5732383.747486367, 553451.9325108696 5732390.904025009, 553444.140146514 5732394.107733477, 553436.3366502094 5732395.605985596, 553423.3901934302 5732400.594848185, 553412.3695638416 5732400.307948662, 553401.9945872996 5732395.239391968, 553371.8826650401 5732369.832896506, 553355.863790315 5732356.874655383, 553338.2419149224 5732345.079962743, 553323.9930201009 5732335.899239821, 553304.6902203972 5732326.60695524, 553278.2407093848 5732317.665332057, 553274.8120690684 5732321.984724668, 553224.7182982115 5732305.169388841, 553217.3934757172 5732304.085557856, 553206.3283183323 5732308.484637373))"
